author_name
Zhengzheng Lou
Dengsheng Zhang
Nitin Yadav
Ashutosh Saxena
Ankit Agrawal
Johannes Hoffart
Koby Crammer
Gerhard Lakemeyer
Koh Takeuchi
Scott Sanner
Hajar Sadeghi Sokeh
Giuseppe De Giacomo
Geoffrey Chu
J. Christopher Beck
Nadia Pantidi
Luis Enrique Sucar
Nicolas Christin
Bo An
George W. Fitzmaurice
Paolo Turrini
Marie-Laure Mugnier
Xiao Cai
Xiaoming Li
William Groves
Carlotta Domeniconi
Dianhuan Lin
Elena Botoeva
Buyue Qian
Stephen Gould
Thach-Thao Nguyen Duong
Ruihai Dong
Michael P. O'Mahony
Naiyan Wang
Stefan Freyr Gudmundsson
Dirk Vermeir
Yusuke Miyao
Yuhong Guo
Francesco Scarcello
Xiaoming Sun
Jiefei Li
Daojian Zeng
Sven Behnke
Jiri Cermak
Yi Nicholas Wang
Ariel Felner
Nicolas Peltier
Guido Tack
Fabio Ramos
Alice X. Zheng
Lakesh Kansakar
Tom Lenaerts
Yi Zheng
Michael Zakharyaschev
Leandro Soriano Marcolino
Mikko Koivisto
Francesco Parisi
Loizos Michael
Solomon Eyal Shimony
Yanjing Wang
Stefan Szeider
Malú Castellanos
Abdul Sattar
Jürgen Schmidhuber
Fei Wang
Guosheng Ben
Shengrui Wang
Enrique Munoz de Cote
Yajuan Duan
Stavros Vassos
Claudiu Cristian Musat
Ian D. Watson
Nicolò Navarin
Zhichun Wang
Lifei Chen
Henri Prade
Xianming Liu
Athirai Aravazhi Irissappane
Yu Yang
Xia Hu
Giorgos Stoilos
Christopher Jefferson
Michael Fink
Peter James Stuckey
Andrew Lim
Deng Cai
XiaoJian Wu
Zhi-Hua Zhou
Alistair Reid
Albert Xin Jiang
David Buchman
Hugo Gravato Marques
M. A. Hakim Newton
Yiannis Demiris
Wei-keng Liao
Jeffrey S. Rosenschein
Yun Fu
Anupam Datta
Boi Faltings
Lianghao Li
Han Jiang
Min Zhang
Loris D'Antoni
Vidal Alcázar
Chunheng Wang
Yuxin Peng
Dongwoo Kim
Gerardo Ignacio Simari
Minghua He
Hiroyuki Shindo
Yukino Baba
Mantas Simkus
Michal Afek
Wen Gao
Andreas Pfandler
Sergio Greco
Roberto Navigli
Long Tran-Thanh
Jie Tang
Rafi Bojmel
Jian Yang
Kewen Wang
Rui Xia
Douglas Oliveira Santos
Pablo Cordero
Yongmei Liu
Haixun Wang
Froduald Kabanza
Yngvi Björnsson
Tongtao Zhang
Menkes van den Briel
Yue Hu
Jiancheng Lv
Binyi Chen
Zhipeng Xie
Yuanlin Zhang
Florence Le Ber
Edwin V. Bonilla
Hu Qin
Dingjiang Huang
Gabriele Röger
Samson Abramsky
Nicolas Schmidt
Stefano Bromuri
Ian T. Nabney
Martin Gebser
Fuzhen Zhuang
Zhengheng Deng
Feng Wu
Ning Chen
Alkis Gotovos
Qun Liu
Weishan Dong
Davide Zilli
Alexandros Karatzoglou
Ang Li
Simon Timothy O'Callaghan
Nithya Rajamani
Marta R. Costa-jussà
David Tolpin
Yiannis Siantos
Abdallah Saffidine
Rui Dong
Erik Peter Zawadzki
Sethu Vijayakumar
Laura Martin
Makoto Yamada
Zhiyong Liu
Rafael Pass
Jun Han
Luis Enrique Pineda
Xilin Chen
Sandra Gabaglio
Shaowei Cai
Yang Li
Martin Kronegger
Yun Zhou
Stefan Woltran
Preetjot Singh
Roman Vitek
Tiejun Zhao
Gregory James Duck
Marjon Blondeel
Dit-Yan Yeung
Xuejun Liao
Xiaoyu Ge
Xiaozhao Zhao
Tuomas Sandholm
Carleton Coffrin
Thierry Petit
Hung Quoc Ngo
Huan Wang
Jing Zhang
Yun Jiang
Jun Wang
Jean-Sébastien Lerat
Ji Zhou
Evgeny Kharlamov
John Wright
Gerhard Weiss
Xuanjing Huang
Qi Zhang
Steffen Michels
Lawrence Carin
Bin Li
Qi Liu
Fan Bu
Francesca Rossi
Tuan Anh Nguyen
David Pearce
Kee-Eung Kim
Patrick Prosser
Weiguang Qu
Clément Carbonnel
Utku Sirin
Niels Landwehr
Christoph Benzmueller
Debing Zhang
Mohammad Munshi Shahin Shah
Samuel Thomas
Liwei Wang
Viliam Lisý
Manish Jain
Thanawin Rakthanmanon
Riccardo Rosati
Pallab Dasgupta
Matthias Thimm
Patrik Haslum
Xipeng Qiu
Tal Beja
Dehua Liu
Bernhard Nebel
Takeo Igarashi
Maria Polukarov
Akisato Kimura
Sheng Li
Yu-Gang Jiang
Wenjun Ma
Xiaoyan Zhu
Steven Schockaert
Naveen Prathapaneni
Teng Ma
Wei Zhang
Henry A. Kautz
Vibhav Gogate
Xiaoyin Fu
Daniel Villatoro
Daria Stepanova
Jörg Stückler
Bo Zhang
Adam Bjorndahl
Vincent Conitzer
Manuel Enciso
Markus Schaal
