author_name,Gender,Gender Probability
Judea Pearl,female,0.64
Felix Thömmes,male,0.99
Neal Gupta,male,1.0
Xiang-Rong Sheng,unknown,0.0
Ralf Möller,male,1.0
André Hernich,male,0.99
Roman Kontchakov,male,0.99
Hui Cheng,female,0.95
Liwei Qiu,male,0.66
Meredith Ringel Morris,female,0.98
Yuquan Le,male,0.84
Ziye Tang,female,0.52
Bo Dai,male,0.77
Przemyslaw Palka,male,1.0
Anna Helena Reali Costa,female,0.99
Dongqing Zou,female,0.6
Shourya Roy,male,0.99
Ruichu Cai,male,1.0
Wei Shen,male,0.98
Tyrone Strangway,male,1.0
Xuanbei Wang,unknown,0.0
Jie Hou,male,0.52
Qinghua Hu,male,0.54
Predrag Radivojac,male,1.0
Xinzhong Zhu,male,0.95
Danyang Sun,female,0.68
Hao Yu,male,0.77
Min Yang,male,0.67
Simone Paolo Ponzetto,female,0.57
Shafiq R. Joty,female,0.57
Xiang Li,male,0.67
Takayuki Kawabata,male,1.0
Depeng Jin,male,0.92
Tat-Seng Chua,unknown,0.0
Cong Lei,female,0.53
Fan Yang,female,0.76
Xiaowei Guo,female,0.52
Tan Yan,female,0.75
Song Zuo,male,0.65
Qiao Zhang,female,0.7
Siyi Li,female,0.81
Seong-Whan Lee,unknown,0.0
Zhong Qian,female,1.0
Swetasudha Panda,unknown,0.0
Marco Maratea,male,1.0
Haibin Wang,female,1.0
Qiang He,male,0.95
Yue Deng,female,0.67
Yuchen Guo,male,0.53
Taiki Todo,male,0.99
Daniel Fiser,male,0.99
Jie Zhang,male,0.52
Ming Li,female,0.7
Zhiming Zhou,male,0.95
Keke He,female,0.59
Emiliano Lorini,male,0.99
Hakjoo Oh,male,0.67
Linli Xu,female,0.93
Bin Li,male,1.0
Heng Huang,male,1.0
Shunda Suo,female,0.96
Jinjin Chi,female,0.68
Sarath Sreedharan,male,0.97
Shiliang Pu,male,0.91
Bin Li,male,1.0
Dingyi Fang,male,0.68
Christian Sohler,male,0.99
Donghwa Shin,male,0.79
Hossein Khani,male,0.99
Zhuoshu Li,female,0.5
Yining Wang,female,0.81
Kyle Yingkai Gao,male,0.99
Zhen Peng,male,0.67
Yishay Mansour,male,0.98
Patrick Loiseau,male,1.0
Anastasios Noulas,male,1.0
Ajay A. Deshpande,male,0.99
Xianggen Liu,male,1.0
Hao Wang,male,1.0
