author_name
C. Lee Giles
Jamie Schulte
Yu Zhang
Jinbo Huang
Steven Schockaert
Carlos H. C. Ribeiro
Katherine Davison
José-Luis Pérez-de-la-Cruz
Austin Parker
Diego C. Martínez
Reinhard Pichler
Sebastian Sardiña
Rómer Rosales
Pedro M. Domingos
Raju S. Bapi
Henry A. Kautz
Amy McGovern
Richard E. Korf
Pierpaolo Basile
Shri Kant
Marek J. Druzdzel
Vimal Mathew
Baris Sertkaya
Langford B. White
Subrata Das
Cyril Nortet
Gregory M. Provan
Tom Croonenborghs
Nathan D. Ratliff
Paolo Ferraris
Duc Nghia Pham
Diego Calvanese
Alessandro Valitutti
Giovanni Semeraro
Yann Chevaleyre
Adrian R. Pearce
Vincent Conitzer
Jan Ramon
James Bowen
Marco Ernandes
Matthai Philipose
Xiaoli Li
Max Welling
Sudeep Marwaha
Ugo Galassi
David Billington
Ian Horrocks
Hendrik Blockeel
Michele Piunti
Kaile Su
Sarit Kraus
